Index,CrashID,Role,Gender,Age,Age_Aggregate,County,Date,Day,Month,Time,Injured,Deaths,Latitude,Longitude,Weather,Speed_Limit,Road_Type,Road_Name,Injury_Status,Cause
1,902526200,Driver,M,45-54Years,['45-54Years'],97,07/30/2015,THURSDAY,JUL,06:45:00 AM,0,1,39.828336,-86.121696,1.0,35.0,Multi-LaneUndivided(TwoWay),40THSTKEYSTONEAVE,Fatal,FAILURETOYIELDRIGHTOFWAY
2,902537055,Driver,M,45-54Years,"['45-54Years', '5-14Years', '5-14Years', '75-84Years']",97,10/06/2015,TUESDAY,OCT,07:38:00 AM,1,4,39.747952000000005,-86.264528,2.0,45.0,Multi-Lanes(OneWay),I465SWASHINGTONST,Fatal,DISREGARDSIGNAL/REGSIGN
3,902649925,Injured,M,15-24Years,"['15-24Years', '15-24Years']",97,12/25/2015,FRIDAY,DEC,01:30:00 AM,3,2,39.82881032,-86.23993992,1.0,40.0,Multi-LaneDivided3ormore(TwoWay),GEORGETOWNRDLAFAYETTERD,Fatal,LEFTOFCENTER
4,902580518,Injured,M,15-24Years,['15-24Years'],97,11/24/2015,TUESDAY,NOV,10:39:00 PM,2,1,39.75208,-86.224992,1.0,40.0,Multi-LaneDivided3ormore(TwoWay),HOLTRDI70,Fatal,UNSAFESPEED
5,902540033,Driver,M,25-34Years,['25-34Years'],97,10/09/2015,FRIDAY,OCT,11:00:00 PM,1,1,39.895936,-86.259856,1.0,40.0,Multi-LaneUndivided(TwoWay),79THSTZIONSVILLERD,Fatal,DISREGARDSIGNAL/REGSIGN
6,902472436,Injured,F,15-24Years,['15-24Years'],97,06/26/2015,FRIDAY,JUN,02:29:00 AM,1,1,39.76714897,-86.16915,1.0,35.0,Multi-Lanes(OneWay),WASHINGTONSTWESTST,Fatal,"OTHER(DRIVER),EXPLAININNARRATIVE"
7,902537968,Injured,M,25-34Years,"['25-34Years', '25-34Years']",97,10/02/2015,FRIDAY,OCT,03:04:00 AM,0,2,39.84088511,-86.06486184,1.0,35.0,nan,46THSTARLINGTONST,Fatal,UNSAFESPEED
8,902382284,Injured,M,5-14Years,['5-14Years'],97,01/25/2015,SUNDAY,JAN,07:54:00 PM,2,1,39.89378832,-86.12177749,4.0,35.0,Multi-LaneDivided3ormore(TwoWay),76THSTKEYSTONEAVE,Fatal,OVERCORRECTING/OVERSTEERING
9,902590994,Driver,F,35-44Years,['35-44Years'],97,04/21/2015,TUESDAY,APR,10:30:00 PM,0,1,39.77595089,-85.99833665,2.0,30.0,TwoLanes(TwoWay),DELBRICKLNWASHINGTONST,Fatal,RANOFFROAD
10,902437956,Injured,F,65-74Years,['65-74Years'],97,04/30/2015,THURSDAY,APR,11:03:00 AM,2,1,39.663552,-86.196352,2.0,45.0,Multi-LaneDivided3ormore(TwoWay),SR37NWSOUTHPORTRD,Fatal,FAILURETOYIELDRIGHTOFWAY
11,902492845,Injured,M,15-24Years,"['15-24Years', '25-34Years']",57,08/02/2015,SUNDAY,AUG,03:50:00 AM,0,2,40.13533195,-85.86291684,1.0,55.0,TwoLanes(TwoWay),SR13STRAWTOWNAVE,Fatal,OVERCORRECTING/OVERSTEERING
12,902485695,Injured,F,45-54Years,['45-54Years'],97,06/26/2015,FRIDAY,JUN,10:32:00 PM,1,1,39.78087614,-86.14053964,3.0,55.0,nan,I7083.0,Fatal,SPEEDTOOFASTFORWEATHERCONDITIONS
13,902432063,Injured,M,25-34Years,['25-34Years'],97,04/17/2015,FRIDAY,APR,08:31:00 PM,1,1,39.7198271,-86.26433566,1.0,55.0,Multi-LaneDivided3ormore(TwoWay),I465S9.8,Fatal,UNSAFESPEED
14,902435648,Driver,M,55-64Years,['55-64Years'],97,04/21/2015,TUESDAY,APR,06:10:00 AM,0,1,39.834447999999995,-86.04568,1.0,40.0,Multi-LaneDivided3ormore(TwoWay),E43RDSTNSHADELANDAVE,Fatal,FOLLOWINGTOOCLOSELY
15,902602718,Injured,M,75-84Years,['75-84Years'],57,12/27/2015,SUNDAY,DEC,06:08:00 PM,2,1,40.043232,-86.071424,2.0,45.0,Multi-LaneDivided3ormore(TwoWay),LITTLECHICAGORDSR32,Fatal,IMPROPERTURNING
16,902452582,Driver,M,75-84Years,['75-84Years'],97,05/26/2015,TUESDAY,MAY,02:50:00 PM,0,1,39.769696,-86.088688,3.0,35.0,TwoLanes(OneWay),WALLACELNWASHINGTONST,Fatal,DISREGARDSIGNAL/REGSIGN
17,902537055,Injured,F,5-14Years,"['45-54Years', '5-14Years', '5-14Years', '75-84Years']",97,10/06/2015,TUESDAY,OCT,07:38:00 AM,1,4,39.747952000000005,-86.264528,2.0,45.0,Multi-Lanes(OneWay),I465SWASHINGTONST,Fatal,DISREGARDSIGNAL/REGSIGN
18,902537055,Injured,M,5-14Years,"['45-54Years', '5-14Years', '5-14Years', '75-84Years']",97,10/06/2015,TUESDAY,OCT,07:38:00 AM,1,4,39.747952000000005,-86.264528,2.0,45.0,Multi-Lanes(OneWay),I465SWASHINGTONST,Fatal,DISREGARDSIGNAL/REGSIGN
19,902379139,Driver,F,45-54Years,"['45-54Years', '45-54Years']",97,01/17/2015,SATURDAY,JAN,05:59:00 AM,0,2,39.74725748,-86.26444713,1.0,55.0,Multi-Lanes(OneWay),I465N11.7,Fatal,UNSAFESPEED
20,902379139,Injured,F,45-54Years,"['45-54Years', '45-54Years']",97,01/17/2015,SATURDAY,JAN,05:59:00 AM,0,2,39.74725748,-86.26444713,1.0,55.0,Multi-Lanes(OneWay),I465N11.7,Fatal,UNSAFESPEED
21,902480225,Injured,F,25-34Years,['25-34Years'],97,07/11/2015,SATURDAY,JUL,03:43:00 AM,1,1,39.69231496,-86.23856347,1.0,45.0,Multi-LaneDivided3ormore(TwoWay),I465E7.1,Fatal,UNSAFESPEED
22,902457023,Driver,M,55-64Years,['55-64Years'],97,06/01/2015,MONDAY,JUN,06:20:00 PM,1,1,39.70162964,-86.11913942,1.0,55.0,nan,I465W0.6,Fatal,OVERCORRECTING/OVERSTEERING
23,902461598,Driver,F,55-64Years,['55-64Years'],97,06/08/2015,MONDAY,JUN,08:19:00 AM,3,1,39.752128000000006,-86.13030400000001,1.0,30.0,Multi-LaneUndivided(TwoWay),PROSPECTSTSTATEAVE,Fatal,DISREGARDSIGNAL/REGSIGN
24,902489979,Injured,F,25-34Years,['25-34Years'],97,07/26/2015,SUNDAY,JUL,01:39:00 AM,1,1,39.79392073,-86.27988741,1.0,40.0,TwoLanes(TwoWay),21STSTFULLERTONDR,Fatal,FOLLOWINGTOOCLOSELY
25,902468584,Driver,M,45-54Years,['45-54Years'],97,06/19/2015,FRIDAY,JUN,06:31:00 PM,1,1,39.800528,-86.009392,2.0,30.0,nan,I70WPOSTRD,Fatal,DISREGARDSIGNAL/REGSIGN
26,902599291,Injured,M,55-64Years,['55-64Years'],97,12/24/2015,THURSDAY,DEC,11:20:00 AM,1,1,39.709344,-86.063488,1.0,40.0,TwoLanes(TwoWay),ARLINGTONAVEHANNAAVE,Fatal,DISREGARDSIGNAL/REGSIGN
27,902613743,Driver,M,55-64Years,"['55-64Years', '45-54Years', '5-14Years']",97,12/23/2015,WEDNESDAY,DEC,11:46:00 PM,4,3,39.59420454,-86.14891750000001,3.0,40.0,Multi-LaneDivided3ormore(TwoWay),EASTSTSTOVERAVE,Fatal,SPEEDTOOFASTFORWEATHERCONDITIONS
28,902613743,Injured,F,45-54Years,"['55-64Years', '45-54Years', '5-14Years']",97,12/23/2015,WEDNESDAY,DEC,11:46:00 PM,4,3,39.59420454,-86.14891750000001,3.0,40.0,Multi-LaneDivided3ormore(TwoWay),EASTSTSTOVERAVE,Fatal,SPEEDTOOFASTFORWEATHERCONDITIONS
29,902613743,Injured,F,5-14Years,"['55-64Years', '45-54Years', '5-14Years']",97,12/23/2015,WEDNESDAY,DEC,11:46:00 PM,4,3,39.59420454,-86.14891750000001,3.0,40.0,Multi-LaneDivided3ormore(TwoWay),EASTSTSTOVERAVE,Fatal,SPEEDTOOFASTFORWEATHERCONDITIONS
30,902583118,Driver,M,45-54Years,['45-54Years'],97,12/05/2015,SATURDAY,DEC,07:59:00 PM,2,1,39.70275991,-86.13933026,1.0,30.0,TwoLanes(TwoWay),LAWRENCEAVESHELBYST,Fatal,FAILURETOYIELDRIGHTOFWAY
31,902589739,Driver,F,25-34Years,['25-34Years'],97,12/11/2015,FRIDAY,DEC,08:38:00 AM,0,1,39.787856,-86.20939200000001,2.0,30.0,TwoLanes(TwoWay),16THSTMEDFORDAVE,Fatal,FAILURETOYIELDRIGHTOFWAY
32,902448963,Driver,F,45-54Years,['45-54Years'],97,05/11/2015,MONDAY,MAY,02:45:00 PM,1,1,39.800544,-85.99048,2.0,35.0,TwoLanes(TwoWay),NMITTHOEFERRDWOODSMALLDR,Fatal,SPEEDTOOFASTFORWEATHERCONDITIONS
33,902502908,Driver,M,55-64Years,['55-64Years'],97,08/19/2015,WEDNESDAY,AUG,05:19:00 AM,0,1,39.742176,-86.22504,1.0,35.0,TwoLanes(TwoWay),HOLTRDMINNESOTAST,Fatal,DISREGARDSIGNAL/REGSIGN
34,902471114,Injured,F,15-24Years,"['15-24Years', '35-44Years']",57,06/27/2015,SATURDAY,JUN,12:25:00 AM,2,2,40.09105104,-85.9719403,3.0,45.0,TwoLanes(TwoWay),181STSTPROMISERD,Fatal,RANOFFROAD
35,902410445,Injured,F,65-74Years,['65-74Years'],97,03/07/2015,SATURDAY,MAR,05:55:00 PM,2,1,39.8162234,-86.27015959999999,1.0,35.0,Multi-LaneUndivided(TwoWay),34THSTHIGHSCHOOLRD,Fatal,DISREGARDSIGNAL/REGSIGN
36,902530370,Driver,M,25-34Years,['25-34Years'],57,09/26/2015,SATURDAY,SEP,10:57:00 PM,3,1,40.016224,-85.938016,2.0,45.0,TwoLanes(TwoWay),156THSTBODENRD,Fatal,DISREGARDSIGNAL/REGSIGN
37,902605196,Driver,M,15-24Years,['15-24Years'],97,12/25/2015,FRIDAY,DEC,12:36:00 AM,1,1,39.81648,-86.23398399999999,2.0,30.0,TwoLanes(TwoWay),34THSTRYBOLTAVE,Fatal,UNSAFESPEED
38,902455625,Injured,M,25-34Years,['25-34Years'],97,05/28/2015,THURSDAY,MAY,01:13:00 PM,1,1,39.795248,-86.21579200000001,1.0,35.0,TwoLanes(TwoWay),22NDSTTIBBSAVE,Fatal,DISREGARDSIGNAL/REGSIGN
39,902605034,Driver,M,75-84Years,['75-84Years'],97,12/06/2015,SUNDAY,DEC,06:09:00 PM,2,1,39.719510299999996,-86.02476976,1.0,30.0,TwoLanes(TwoWay),STATESBENDDRWILDWOODFARMSBLVD,Fatal,DRIVERILLNESS
40,902543932,Driver,M,55-64Years,['55-64Years'],97,10/19/2015,MONDAY,OCT,03:29:00 PM,1,1,39.773632,-86.143744,1.0,30.0,Multi-Lanes(OneWay),DAVIDSONSTMICHIGANST,Fatal,DISREGARDSIGNAL/REGSIGN
41,902470354,Driver,M,45-54Years,['45-54Years'],97,06/16/2015,TUESDAY,JUN,10:00:00 AM,1,1,39.86969598,-86.28205866,1.0,55.0,TwoLanes(OneWay),I65S,Fatal,UNSAFELANEMOVEMENT
42,902435907,Driver,M,45-54Years,['45-54Years'],97,04/26/2015,SUNDAY,APR,05:35:00 PM,0,1,39.71420471,-86.11579002,1.0,55.0,Multi-LaneDivided3ormore(TwoWay),I65N106.9,Fatal,DRIVERILLNESS
43,902484861,Driver,F,15-24Years,['15-24Years'],97,07/12/2015,SUNDAY,JUL,03:46:00 AM,0,1,39.80163108,-86.09084964,3.0,55.0,nan,I70W86.1,Fatal,SPEEDTOOFASTFORWEATHERCONDITIONS
44,902493288,Driver,M,45-54Years,['45-54Years'],57,08/01/2015,SATURDAY,AUG,06:17:00 PM,1,1,39.99083037,-85.90814959,1.0,70.0,TwoLanes(OneWay),I69S211.0,Fatal,FOLLOWINGTOOCLOSELY
45,902393599,Driver,M,55-64Years,['55-64Years'],97,02/06/2015,FRIDAY,FEB,12:58:00 AM,0,1,39.76686001,-86.14564016,1.0,35.0,Multi-LaneUndivided(TwoWay),COLLEGEAVEWASHINGTONST,Fatal,DRIVERILLNESS
46,902537055,Driver,M,75-84Years,"['45-54Years', '5-14Years', '5-14Years', '75-84Years']",97,10/06/2015,TUESDAY,OCT,07:38:00 AM,1,4,39.747952000000005,-86.264528,2.0,45.0,Multi-LaneDivided3ormore(TwoWay),I465SWASHINGTONST,Fatal,DISREGARDSIGNAL/REGSIGN
47,902458982,Driver,M,45-54Years,['45-54Years'],97,04/22/2015,WEDNESDAY,APR,03:27:00 AM,0,1,39.766928,-86.186544,3.0,35.0,Multi-LaneUndivided(TwoWay),HARDINGSTWASHINGTONST,Fatal,LEFTOFCENTER
48,902442675,Driver,M,15-24Years,['15-24Years'],97,05/06/2015,WEDNESDAY,MAY,10:45:00 PM,0,1,39.69475269,-86.19189579,1.0,55.0,Multi-LaneDivided3ormore(TwoWay),I465W4.6,Fatal,UNSAFELANEMOVEMENT
49,902446823,Driver,M,25-34Years,['25-34Years'],97,05/10/2015,SUNDAY,MAY,10:43:00 PM,0,1,39.83739569,-86.02499156,2.0,40.0,Multi-LaneDivided3ormore(TwoWay),MCCOYSTUS36E,Fatal,UNSAFESPEED
50,902431028,Driver,M,25-34Years,['25-34Years'],57,04/19/2015,SUNDAY,APR,03:36:00 AM,1,1,40.09629822,-85.89443206,1.0,45.0,TwoLanes(TwoWay),211STSR37,Fatal,OVERCORRECTING/OVERSTEERING
51,902649925,Driver,M,15-24Years,"['15-24Years', '15-24Years']",97,12/25/2015,FRIDAY,DEC,01:30:00 AM,3,2,39.82881032,-86.23993992,1.0,40.0,Multi-LaneDivided3ormore(TwoWay),GEORGETOWNRDLAFAYETTERD,Fatal,LEFTOFCENTER
52,902634245,Driver,F,75-84Years,['75-84Years'],97,12/19/2015,SATURDAY,DEC,03:21:00 PM,1,1,39.71718702,-86.25821384,1.0,55.0,nan,I7073.3,Fatal,OVERCORRECTING/OVERSTEERING
53,902492845,Driver,F,25-34Years,"['15-24Years', '25-34Years']",57,08/02/2015,SUNDAY,AUG,03:50:00 AM,0,2,40.13533195,-85.86291684,1.0,55.0,TwoLanes(TwoWay),SR13STRAWTOWNAVE,Fatal,OVERCORRECTING/OVERSTEERING
54,902378395,Driver,M,65-74Years,['65-74Years'],97,01/19/2015,MONDAY,JAN,11:49:00 AM,1,1,39.663888,-86.172976,1.0,40.0,TwoLanes(TwoWay),RIOGRANDESOUTHPORT,Fatal,LEFTOFCENTER
55,902535104,Driver,F,35-44Years,['35-44Years'],97,10/03/2015,SATURDAY,OCT,02:33:00 AM,0,1,39.69547972,-86.04058378,3.0,40.0,TwoLanes(TwoWay),FIELDSBLVDTHOMPSONRD,Fatal,RANOFFROAD
56,902473709,Driver,M,55-64Years,['55-64Years'],97,07/01/2015,WEDNESDAY,JUL,02:34:00 PM,0,1,39.771888,-86.045168,2.0,25.0,nan,SHADELANDAVEWASHINGTONST,Fatal,OVERCORRECTING/OVERSTEERING
57,902537968,Driver,M,25-34Years,"['25-34Years', '25-34Years']",97,10/02/2015,FRIDAY,OCT,03:04:00 AM,0,2,39.84088511,-86.06486184,1.0,35.0,nan,46THSTARLINGTONST,Fatal,UNSAFESPEED
58,902658361,Driver,M,65-74Years,['65-74Years'],97,12/09/2015,WEDNESDAY,DEC,01:30:00 PM,3,1,39.771952,-86.098528,1.0,35.0,Multi-Lanes(OneWay),CHESTERAVENEWYORKST,Fatal,FAILURETOYIELDRIGHTOFWAY
59,902546865,Driver,M,25-34Years,['25-34Years'],97,10/21/2015,WEDNESDAY,OCT,06:36:00 PM,1,1,39.84390054,-86.03546977,1.0,40.0,Multi-LaneUndivided(TwoWay),65THSTFALLCREEKRD,Fatal,LEFTOFCENTER
60,902453137,Driver,F,25-34Years,['25-34Years'],97,05/22/2015,FRIDAY,MAY,11:58:00 PM,1,1,39.7905574,-86.00930905,1.0,40.0,Multi-LaneUndivided2-wayleft(TwoWay),17THSTPOSTRD,Fatal,UNSAFELANEMOVEMENT
61,902444097,Driver,F,>=85Years,['>=85Years'],97,05/10/2015,SUNDAY,MAY,11:51:00 AM,0,1,39.65057015,-86.10154298,2.0,40.0,TwoLanes(TwoWay),SHERMANDRSTOP11RD,Fatal,RANOFFROAD
62,902576594,Driver,M,25-34Years,['25-34Years'],97,12/01/2015,TUESDAY,DEC,10:18:00 PM,0,1,39.65057015,-86.10155745,1.0,40.0,TwoLanes(TwoWay),SHERMANDRSTOP11RD,Fatal,RANOFFROAD
63,902526047,Driver,M,45-54Years,['45-54Years'],97,07/10/2015,FRIDAY,JUL,09:30:00 PM,2,1,39.79408979,-86.07384011,1.0,35.0,TwoLanes(TwoWay),19THSTRITTERAVE,Fatal,DISREGARDSIGNAL/REGSIGN
64,902445716,Driver,M,45-54Years,['45-54Years'],97,05/14/2015,THURSDAY,MAY,06:30:00 PM,1,1,39.84104,-85.972176,1.0,45.0,TwoLanes(TwoWay),E46THSTGERMANCHURCHRD,Fatal,FAILURETOYIELDRIGHTOFWAY
65,902424594,Driver,F,45-54Years,['45-54Years'],97,03/28/2015,SATURDAY,MAR,07:13:00 PM,1,1,39.64380026,-86.08265787,1.0,30.0,TwoLanes(TwoWay),EMERSONAVETODDRD,Fatal,RANOFFROAD
66,902393361,Driver,M,75-84Years,['75-84Years'],97,02/10/2015,TUESDAY,FEB,03:32:00 PM,1,1,39.65135902,-86.07113983,1.0,40.0,TwoLanes(TwoWay),ESTOP11RDNUCKOLSLN,Fatal,LEFTOFCENTER
67,902471114,Driver,M,35-44Years,"['15-24Years', '35-44Years']",57,06/27/2015,SATURDAY,JUN,12:25:00 AM,2,2,40.09105104,-85.9719403,3.0,45.0,TwoLanes(TwoWay),181STSTPROMISERD,Fatal,RANOFFROAD
