Index,CrashID,Gender,Age,County,Date,Day,Month,Time,PM_AM,Injured,Deaths,Latitude,Longitude,Weather,Speed_Limit,Injury_Status,Cause
1,903250987,F,55-64Years,97,10/26/2018,FRIDAY,OCT,1:17,AM,0,1,39.754208,-86.101664,2,35,Fatal,DISREGARDSIGNAL/REGSIGN
2,903175662,M,55-64Years,97,6/22/2018,FRIDAY,JUN,4:55,AM,1,1,39.70336,-86.082288,1,40,Fatal,RANOFFROAD
3,903246498,M,55-64Years,97,10/18/2018,THURSDAY,OCT,12:39,AM,1,1,39.781648,-86.057376,1,30,Fatal,FAILURETOYIELDRIGHTOFWAY
4,903123446,F,>=85Years,97,3/24/2018,SATURDAY,MAR,12:45,PM,1,2,39.791824,-86.250768,4,40,Fatal,DISREGARDSIGNAL/REGSIGN
5,903123446,F,55-64Years,97,3/24/2018,SATURDAY,MAR,12:45,PM,1,2,39.791824,-86.250768,4,40,Fatal,DISREGARDSIGNAL/REGSIGN
6,903228780,F,25-34Years,97,9/19/2018,WEDNESDAY,SEP,12:30,AM,0,2,39.84148,-85.97225,1,50,Fatal,UNSAFESPEED
7,903077272,M,45-54Years,97,1/3/2018,WEDNESDAY,JAN,2:43,PM,2,1,39.888752,-86.211584,4,35,Fatal,LEFTOFCENTER
8,903108522,M,5-14Years,97,2/25/2018,SUNDAY,FEB,3:02,PM,1,2,39.73410153,-86.31009508,1,45,Fatal,LEFTOFCENTER
9,903108522,F,15-24Years,97,2/25/2018,SUNDAY,FEB,3:02,PM,1,2,39.73410153,-86.31009508,1,45,Fatal,LEFTOFCENTER
10,903211257,M,15-24Years,97,8/28/2018,TUESDAY,AUG,1:25,PM,1,1,39.81141453,-85.99554235,1,40,Fatal,OVERCORRECTING/OVERSTEERING
11,903179537,M,15-24Years,97,5/26/2018,SATURDAY,MAY,11:34,PM,2,2,39.71361861,-86.14871757,1,40,Fatal,FAILURETOYIELDRIGHTOFWAY
12,903253683,F,35-44Years,97,10/26/2018,FRIDAY,OCT,11:03,AM,0,3,39.95101888,-86.03313999,3,30,Fatal,OVERCORRECTING/OVERSTEERING
13,903253683,F,35-44Years,97,10/26/2018,FRIDAY,OCT,11:03,AM,0,3,39.95101888,-86.03313999,3,30,Fatal,OVERCORRECTING/OVERSTEERING
14,903253683,M,35-44Years,97,10/26/2018,FRIDAY,OCT,11:03,AM,0,3,39.95101888,-86.03313999,3,30,Fatal,OVERCORRECTING/OVERSTEERING
15,903257655,M,55-64Years,97,11/10/2018,SATURDAY,NOV,11:30,PM,1,1,39.80801149,-86.27525981,1,55,Fatal,FOLLOWINGTOOCLOSELY
16,903284578,M,35-44Years,57,12/20/2018,THURSDAY,DEC,10:15,PM,0,1,39.94748896,-86.0145504,3,65,Fatal,IMPROPERLANEUSAGE
17,903189132,M,25-34Years,97,7/21/2018,SATURDAY,JUL,11:34,PM,3,1,39.91721272,-86.0367104,1,55,Fatal,UNSAFESPEED
18,903195461,F,45-54Years,97,7/11/2018,WEDNESDAY,JUL,5:20,AM,1,1,39.70608972,-86.28623247,1,55,Fatal,UNSAFELANEMOVEMENT
19,903149183,M,25-34Years,97,5/12/2018,SATURDAY,MAY,5:57,AM,0,1,39.7025643,-86.1136213,1,55,Fatal,ANIMAL/OBJECTINROADWAY
20,903135487,M,55-64Years,57,4/19/2018,THURSDAY,APR,9:07,AM,2,2,40.041824,-86.22167472,2,45,Fatal,LEFTOFCENTER
21,903135487,F,45-54Years,57,4/19/2018,THURSDAY,APR,9:07,AM,2,2,40.041824,-86.22167472,2,45,Fatal,LEFTOFCENTER
22,903239038,M,35-44Years,57,10/14/2018,SUNDAY,OCT,10:20,PM,1,2,40.0416869,-86.23577799,1,55,Fatal,IMPROPERTURNING
23,903239038,M,55-64Years,57,10/14/2018,SUNDAY,OCT,10:20,PM,1,2,40.0416869,-86.23577799,1,55,Fatal,IMPROPERTURNING
24,903077274,F,25-34Years,97,1/7/2018,SUNDAY,JAN,4:10,AM,1,1,39.77944,-86.270288,2,35,Fatal,UNSAFESPEED
25,903107382,F,75-84Years,97,2/24/2018,SATURDAY,FEB,6:04,PM,1,1,39.912445,-86.15787,2,40,Fatal,LEFTOFCENTER
26,903123453,F,15-24Years,97,3/22/2018,THURSDAY,MAR,6:58,AM,2,1,39.845136,-86.12192,1,40,Fatal,OVERCORRECTING/OVERSTEERING
27,903299719,M,35-44Years,97,12/22/2018,SATURDAY,DEC,9:28,PM,1,1,39.8989695,-86.12678988,1,30,Fatal,RANOFFROAD
28,903141850,M,35-44Years,97,3/9/2018,FRIDAY,MAR,4:12,PM,0,1,39.89007314,-86.206195,1,40,Fatal,IMPROPERLANEUSAGE
29,903141430,M,45-54Years,97,4/27/2018,FRIDAY,APR,9:50,PM,0,1,39.6866168,-86.2797711,1,55,Fatal,FOLLOWINGTOOCLOSELY
30,903278171,F,65-74Years,97,12/4/2018,TUESDAY,DEC,12:30,PM,1,1,39.736768,-86.196208,1,45,Fatal,DISREGARDSIGNAL/REGSIGN
31,903286119,M,15-24Years,97,12/9/2018,SUNDAY,DEC,5:01,PM,3,1,39.853136,-86.239696,1,40,Fatal,OVERCORRECTING/OVERSTEERING
32,903184016,F,65-74Years,97,7/3/2018,TUESDAY,JUL,2:34,PM,0,1,39.764608,-86.260096,1,35,Fatal,FOLLOWINGTOOCLOSELY
33,903173972,M,1-4Years,97,6/22/2018,FRIDAY,JUN,7:31,PM,1,1,39.76844986,-86.30806509,2,35,Fatal,RANOFFROAD
34,903094402,M,25-34Years,97,2/4/2018,SUNDAY,FEB,2:56,AM,2,2,39.84024,-86.03288,1,45,Fatal,UNSAFESPEED
