Index,CrashID,Role,Gender,Age,County,Date,Day,Month,Time,PM_AM,Injured,Deaths,Latitude,Longitude,Weather,Speed_Limit,Road_Type,Road_Name,Injury_Status,Cause
294,902431028,Driver,M,25-34Years,57,2015.04.19,SUNDAY,APR,3:36,AM,1,1,40.09629822,-85.89443206,1,45,TwoLanes(TwoWay),211STSR37,Fatal,OVERCORRECTING/OVERSTEERING
295,902649925,Driver,M,15-24Years,97,2015.12.25,FRIDAY,DEC,1:30,AM,3,2,39.82881032,-86.23993992,1,40,Multi-LaneDivided3ormore(TwoWay),GEORGETOWNRDLAFAYETTERD,Fatal,LEFTOFCENTER
296,902634245,Driver,F,75-84Years,97,2015.12.19,SATURDAY,DEC,3:21,PM,1,1,39.71718702,-86.25821384,1,55,nan,I7073.3,Fatal,OVERCORRECTING/OVERSTEERING
297,902492845,Driver,F,25-34Years,57,2015.08.02,SUNDAY,AUG,3:50,AM,0,2,40.13533195,-85.86291684,1,55,TwoLanes(TwoWay),SR13STRAWTOWNAVE,Fatal,OVERCORRECTING/OVERSTEERING
298,902378395,Driver,M,65-74Years,97,2015.01.19,MONDAY,JAN,11:49,AM,1,1,39.663888,-86.172976,1,40,TwoLanes(TwoWay),RIOGRANDESOUTHPORT,Fatal,LEFTOFCENTER
299,902535104,Driver,F,35-44Years,97,2015.10.03,SATURDAY,OCT,2:33,AM,0,1,39.69547972,-86.04058378,3,40,TwoLanes(TwoWay),FIELDSBLVDTHOMPSONRD,Fatal,RANOFFROAD
300,902473709,Driver,M,55-64Years,97,2015.07.01,WEDNESDAY,JUL,2:34,PM,0,1,39.771888,-86.045168,2,25,nan,SHADELANDAVEWASHINGTONST,Fatal,OVERCORRECTING/OVERSTEERING
301,902537968,Driver,M,25-34Years,97,2015.10.02,FRIDAY,OCT,3:04,AM,0,2,39.84088511,-86.06486184,1,35,nan,46THSTARLINGTONST,Fatal,UNSAFESPEED
302,902658361,Driver,M,65-74Years,97,2015.12.09,WEDNESDAY,DEC,1:30,PM,3,1,39.771952,-86.098528,1,35,Multi-Lanes(OneWay),CHESTERAVENEWYORKST,Fatal,FAILURETOYIELDRIGHTOFWAY
303,902546865,Driver,M,25-34Years,97,2015.10.21,WEDNESDAY,OCT,6:36,PM,1,1,39.84390054,-86.03546977,1,40,Multi-LaneUndivided(TwoWay),65THSTFALLCREEKRD,Fatal,LEFTOFCENTER
304,902453137,Driver,F,25-34Years,97,2015.05.22,FRIDAY,MAY,11:58,PM,1,1,39.7905574,-86.00930905,1,40,Multi-LaneUndivided2-wayleft(TwoWay),17THSTPOSTRD,Fatal,UNSAFELANEMOVEMENT
305,902444097,Driver,F,>=85Years,97,2015.05.10,SUNDAY,MAY,11:51,AM,0,1,39.65057015,-86.10154298,2,40,TwoLanes(TwoWay),SHERMANDRSTOP11RD,Fatal,RANOFFROAD
306,902576594,Driver,M,25-34Years,97,2015.12.01,TUESDAY,DEC,10:18,PM,0,1,39.65057015,-86.10155745,1,40,TwoLanes(TwoWay),SHERMANDRSTOP11RD,Fatal,RANOFFROAD
307,902526047,Driver,M,45-54Years,97,2015.07.10,FRIDAY,JUL,9:30,PM,2,1,39.79408979,-86.07384011,1,35,TwoLanes(TwoWay),19THSTRITTERAVE,Fatal,DISREGARDSIGNAL/REGSIGN
308,902445716,Driver,M,45-54Years,97,2015.05.14,THURSDAY,MAY,6:30,PM,1,1,39.84104,-85.972176,1,45,TwoLanes(TwoWay),E46THSTGERMANCHURCHRD,Fatal,FAILURETOYIELDRIGHTOFWAY
309,902424594,Driver,F,45-54Years,97,2015.03.28,SATURDAY,MAR,7:13,PM,1,1,39.64380026,-86.08265787,1,30,TwoLanes(TwoWay),EMERSONAVETODDRD,Fatal,RANOFFROAD
310,902393361,Driver,M,75-84Years,97,2015.02.10,TUESDAY,FEB,3:32,PM,1,1,39.65135902,-86.07113983,1,40,TwoLanes(TwoWay),ESTOP11RDNUCKOLSLN,Fatal,LEFTOFCENTER
311,902471114,Driver,M,35-44Years,57,2015.06.27,SATURDAY,JUN,12:25,AM,2,2,40.09105104,-85.9719403,3,45,TwoLanes(TwoWay),181STSTPROMISERD,Fatal,RANOFFROAD
312,902469119,Driver,M,55-64Years,97,2015.06.20,SATURDAY,JUN,10:54,PM,0,1,39.85744,-86.182288,2,40,TwoLanes(TwoWay),KESSLERBLVDWDRSHARONRD,Fatal,"OTHER(DRIVER),EXPLAININNARRATIVE"
