Index,CrashID,Gender,Ages,County,Date,Day,Month,Time,PM/AM,Injured,Deaths,Latitude,Longitude,Weather,SpeedLimit,Cause,
316,902587994,M,['25-34Years' '15-24Years'],97,2015.11.22,SUNDAY,NOV,9:08,PM,0,1,39.82233816,-85.990784,1,35,PEDESTRIANACTION,
317,902382284,F,['25-34Years' '35-44Years' '5-14Years' '25-34Years' '25-34Years' '25-34Years'],97,2015.01.25,SUNDAY,JAN,7:54,PM,2,1,39.89378832,-86.12177749,4,35,OVERCORRECTING/OVERSTEERING,
318,902590994,F,['35-44Years' '35-44Years'],97,2015.04.21,TUESDAY,APR,10:30,PM,0,1,39.77595089,-85.99833665,2,30,RANOFFROAD,
319,902517036,F,['15-24Years' '35-44Years'],97,2015.09.04,FRIDAY,SEP,7:00,PM,0,1,39.8216102,-86.20107166,2,35,UNSAFESPEED,
320,902469119,M,['25-34Years' '55-64Years'],97,2015.06.20,SATURDAY,JUN,10:54,PM,0,1,39.85744,-86.182288,2,40,OTHER(DRIVER),
321,902437956,F,['65-74Years' '55-64Years' '55-64Years'],97,2015.04.30,THURSDAY,APR,11:03,AM,2,1,39.663552,-86.196352,2,45,FAILURETOYIELDRIGHTOFWAY,
322,902492845,M,['15-24Years' '25-34Years'],57,2015.08.02,SUNDAY,AUG,3:50,AM,0,2,40.13533195,-85.86291684,1,55,OVERCORRECTING/OVERSTEERING,
323,902485695,F,['45-54Years' '45-54Years'],97,2015.06.26,FRIDAY,JUN,10:32,PM,1,1,39.78087614,-86.14053964,3,55,SPEEDTOOFASTFORWEATHERCONDITIONS,
324,902432063,M,['25-34Years' '45-54Years'],97,2015.04.17,FRIDAY,APR,8:31,PM,1,1,39.7198271,-86.26433566,1,55,UNSAFESPEED,
325,902470354,M,['45-54Years' '45-54Years'],97,2015.06.16,TUESDAY,JUN,10:00,AM,1,1,39.86969598,-86.28205866,1,55,UNSAFELANEMOVEMENT,
326,902431028,M,['15-24Years' '25-34Years'],57,2015.04.19,SUNDAY,APR,3:36,AM,1,1,40.09629822,-85.89443206,1,45,OVERCORRECTING/OVERSTEERING,
327,902602718,F,['25-34Years' '75-84Years' '55-64Years' '65-74Years'],57,2015.12.27,SUNDAY,DEC,6:08,PM,2,1,40.043232,-86.071424,2,45,IMPROPERTURNING,
328,902493288,F,['45-54Years' '45-54Years' '45-54Years'],57,2015.08.01,SATURDAY,AUG,6:17,PM,1,1,39.99083037,-85.90814959,1,70,FOLLOWINGTOOCLOSELY,
329,902452582,M,['75-84Years'],97,2015.05.26,TUESDAY,MAY,2:50,PM,0,1,39.769696,-86.088688,3,35,DISREGARDSIGNAL/REGSIGN,
330,902634245,F,['35-44Years' '75-84Years'],97,2015.12.19,SATURDAY,DEC,3:21,PM,1,1,39.71718702,-86.25821384,1,55,OVERCORRECTING/OVERSTEERING,
331,902379139,F,['45-54Years' '45-54Years'],97,2015.01.17,SATURDAY,JAN,5:59,AM,0,2,39.74725748,-86.26444713,1,55,UNSAFESPEED,
332,902480225,F,['25-34Years' '35-44Years'],97,2015.07.11,SATURDAY,JUL,3:43,AM,1,1,39.69231496,-86.23856347,1,45,UNSAFESPEED,
333,902457023,M,['55-64Years' '25-34Years'],97,2015.06.01,MONDAY,JUN,6:20,PM,1,1,39.70162964,-86.11913942,1,55,OVERCORRECTING/OVERSTEERING,
334,902534770,F,['25-34Years'],57,2015.10.07,WEDNESDAY,OCT,9:56,PM,0,1,40.129728,-86.217536,1,35,FAILURETOYIELDRIGHTOFWAY,
335,902489979,F,['25-34Years' '25-34Years' '15-24Years'],97,2015.07.26,SUNDAY,JUL,1:39,AM,1,1,39.79392073,-86.27988741,1,40,FOLLOWINGTOOCLOSELY,
336,902378395,M,['25-34Years' '65-74Years'],97,2015.01.19,MONDAY,JAN,11:49,AM,1,1,39.663888,-86.172976,1,40,LEFTOFCENTER,
337,902599291,M,['55-64Years' '55-64Years' '35-44Years'],97,2015.12.24,THURSDAY,DEC,11:20,AM,1,1,39.709344,-86.063488,1,40,DISREGARDSIGNAL/REGSIGN,
338,902526047,M,['15-24Years' '15-24Years' '45-54Years'],97,2015.07.10,FRIDAY,JUL,9:30,PM,2,1,39.79408979,-86.07384011,1,30,DISREGARDSIGNAL/REGSIGN,
339,902605196,M,['55-64Years' '15-24Years'],97,2015.12.25,FRIDAY,DEC,12:36,AM,1,1,39.81648,-86.233984,2,35,UNSAFESPEED,
340,902583118,M,['45-54Years' '25-34Years' '25-34Years'],97,2015.12.05,SATURDAY,DEC,7:59,PM,2,1,39.70275991,-86.13933026,1,30,FAILURETOYIELDRIGHTOFWAY,
341,902448963,F,['45-54Years' '25-34Years'],97,2015.05.11,MONDAY,MAY,2:45,PM,1,1,39.800544,-85.99048,2,35,SPEEDTOOFASTFORWEATHERCONDITIONS,
342,902502908,M,['55-64Years' '45-54Years'],97,2015.08.19,WEDNESDAY,AUG,5:19,AM,0,1,39.742176,-86.22504,1,35,DISREGARDSIGNAL/REGSIGN,
343,902471114,F,['5-14Years' '15-24Years' '15-24Years' '35-44Years'],57,2015.06.27,SATURDAY,JUN,12:25,AM,2,2,40.09105104,-85.9719403,3,45,RANOFFROAD,
344,902605034,F,['55-64Years' '75-84Years' '15-24Years'],97,2015.12.06,SUNDAY,DEC,6:09,PM,2,1,39.7195103,-86.02476976,1,30,DRIVERILLNESS,
345,902424594,M,['15-24Years' '45-54Years'],97,2015.03.28,SATURDAY,MAR,7:13,PM,1,1,39.64380026,-86.08265787,1,30,RANOFFROAD,
346,902530370,M,['25-34Years' '15-24Years' '15-24Years' '15-24Years'],57,2015.09.26,SATURDAY,SEP,10:57,PM,3,1,40.016224,-85.938016,2,45,DISREGARDSIGNAL/REGSIGN,
347,902393361,F,['35-44Years' '75-84Years'],97,2015.02.10,TUESDAY,FEB,3:32,PM,1,1,39.65135902,-86.07113983,1,40,LEFTOFCENTER,
348,902382491,M,['15-24Years'],97,2015.01.16,FRIDAY,JAN,10:45,PM,1,1,39.76664,-86.143072,1,35,PEDESTRIANACTION,
349,902591012,M,['35-44Years'],97,2015.11.03,TUESDAY,NOV,5:39,AM,0,1,39.67295738,-86.158384,1,40,PEDESTRIANACTION,
350,902383941,F,['25-34Years'],97,2015.01.29,THURSDAY,JAN,1:08,PM,0,1,39.80266152,-86.00955918,2,55,OTHER(DRIVER),
351,902420071,M,['25-34Years'],97,2015.03.23,MONDAY,MAR,6:18,PM,1,1,39.90470365,-86.07865532,2,40,PEDESTRIANACTION,
352,902435907,M,['45-54Years'],97,2015.04.26,SUNDAY,APR,5:35,PM,0,1,39.71420471,-86.11579002,1,55,DRIVERILLNESS,
353,902484861,F,['15-24Years'],97,2015.07.12,SUNDAY,JUL,3:46,AM,0,1,39.80163108,-86.09084964,3,55,SPEEDTOOFASTFORWEATHERCONDITIONS,
354,902373057,M,['35-44Years'],97,2015.01.03,SATURDAY,JAN,3:00,AM,1,1,39.76957977,-86.09492386,3,35,PEDESTRIANACTION,
355,902393599,M,['55-64Years'],97,2015.02.06,FRIDAY,FEB,12:58,AM,0,1,39.76686001,-86.14564016,1,35,DRIVERILLNESS,
356,902458982,M,['45-54Years'],97,2015.04.22,WEDNESDAY,APR,3:27,AM,0,1,39.766928,-86.186544,3,35,LEFTOFCENTER,
357,902442675,M,['15-24Years'],97,2015.05.06,WEDNESDAY,MAY,10:45,PM,0,1,39.69475269,-86.19189579,1,55,UNSAFELANEMOVEMENT,
358,902446823,M,['25-34Years'],97,2015.05.10,SUNDAY,MAY,10:43,PM,0,1,39.83739569,-86.02499156,2,40,UNSAFESPEED,
359,902530551,M,['15-24Years'],97,2015.09.27,SUNDAY,SEP,6:05,PM,0,1,39.826057,-86.074577,1,15,OTHER(DRIVER),
360,902401311,M,['15-24Years'],97,2015.02.15,SUNDAY,FEB,2:32,AM,1,1,39.76465247,-86.2700413,1,45,PEDESTRIANACTION,
361,902432405,M,['25-34Years'],97,2015.04.18,SATURDAY,APR,11:49,PM,0,1,39.810464,-86.13408,1,35,PEDESTRIANACTION,
362,902535104,F,['35-44Years'],97,2015.10.03,SATURDAY,OCT,2:33,AM,0,1,39.69547972,-86.04058378,3,40,RANOFFROAD,
363,902473767,M,['35-44Years'],97,2015.06.28,SUNDAY,JUN,11:15,PM,0,1,39.77387566,-86.24154992,1,40,PEDESTRIANACTION,
364,902473709,M,['55-64Years'],97,2015.07.01,WEDNESDAY,JUL,2:34,PM,0,1,39.771888,-86.045168,2,25,OVERCORRECTING/OVERSTEERING,
365,902554573,M,['35-44Years'],97,2015.10.30,FRIDAY,OCT,11:01,PM,0,1,39.81466033,-86.06460995,1,40,PEDESTRIANACTION,
